time,open,high,low,close,超短期MA,短期MA,中長期MA
1763687340,157.231,157.267,157.203,157.249,157.26060000000263,157.2825555555546,157.29990476190585
1763687400,157.249,157.28099999999998,157.244,157.256,157.25640000000266,157.2795555555546,157.30109523809634
1763687460,157.256,157.256,157.242,157.249,157.25060000000263,157.26655555555462,157.30080952381064
1763687520,157.249,157.271,157.249,157.255,157.24800000000263,157.26011111111018,157.29995238095347
1763687580,157.255,157.284,157.254,157.28,157.25780000000265,157.26033333333237,157.29714285714394
1763687640,157.28,157.29399999999998,157.277,157.289,157.26580000000263,157.26166666666575,157.29485714285823
1763687700,157.289,157.34,157.289,157.32899999999998,157.28040000000266,157.2673333333324,157.29204761904873
1763687760,157.32899999999998,157.32899999999998,157.308,157.313,157.29320000000263,157.2723333333324,157.28723809523922
1763687820,157.313,157.325,157.292,157.31199999999998,157.30460000000264,157.28133333333238,157.28561904762014
1763687880,157.31199999999998,157.31199999999998,157.29,157.303,157.30920000000265,157.2873333333324,157.2856666666678
1763687940,157.303,157.346,157.29299999999998,157.344,157.32020000000264,157.29711111111018,157.28819047619157
1763688000,157.344,157.345,157.32299999999998,157.327,157.31980000000266,157.30577777777683,157.28890476190585
1763688060,157.327,157.34099999999998,157.32399999999998,157.328,157.32280000000264,157.31388888888796,157.29180952381063
1763688120,157.328,157.387,157.325,157.385,157.33740000000267,157.32555555555462,157.29666666666776
1763688180,157.385,157.39,157.37099999999998,157.373,157.35140000000266,157.33488888888795,157.29700000000108
1763688240,157.373,157.38899999999998,157.373,157.38799999999998,157.36020000000266,157.34144444444348,157.3005714285725
1763688300,157.38799999999998,157.405,157.378,157.403,157.37540000000266,157.3514444444435,157.3065238095249
1763688360,157.403,157.452,157.403,157.44,157.39780000000263,157.36566666666573,157.3142857142868
1763688420,157.44,157.441,157.42499999999998,157.427,157.40620000000268,157.3794444444435,157.32138095238201
1763688480,157.427,157.44,157.411,157.41299999999998,157.41420000000267,157.38711111111013,157.3282857142868
1763688540,157.41299999999998,157.433,157.39999999999998,157.433,157.42320000000268,157.3988888888879,157.33790476190583
1763688600,157.433,157.439,157.403,157.41199999999998,157.42500000000268,157.40822222222127,157.34566666666774
1763688660,157.41199999999998,157.44199999999998,157.411,157.429,157.4228000000027,157.41311111111017,157.35390476190585
1763688720,157.429,157.447,157.429,157.438,157.42500000000268,157.42033333333237,157.36290476190584
1763688780,157.438,157.44199999999998,157.423,157.427,157.42780000000266,157.4246666666657,157.37109523809633
1763688840,157.427,157.427,157.385,157.397,157.42060000000268,157.42399999999904,157.37666666666775
1763688900,157.397,157.398,157.33599999999998,157.343,157.40680000000268,157.41322222222126,157.37923809523915
1763688960,157.343,157.35299999999998,157.308,157.326,157.38620000000267,157.40199999999902,157.37909523809628
1763689020,157.326,157.35999999999999,157.315,157.35899999999998,157.3704000000027,157.39599999999902,157.38128571428678
1763689080,157.35899999999998,157.402,157.35899999999998,157.40099999999998,157.3652000000027,157.39244444444344,157.38552380952487
