time,open,high,low,close
1763687340,157.231,157.267,157.203,157.249
1763687400,157.249,157.28099999999998,157.244,157.256
1763687460,157.256,157.256,157.242,157.249
1763687520,157.249,157.271,157.249,157.255
1763687580,157.255,157.284,157.254,157.28
1763687640,157.28,157.29399999999998,157.277,157.289
1763687700,157.289,157.34,157.289,157.32899999999998
1763687760,157.32899999999998,157.32899999999998,157.308,157.313
1763687820,157.313,157.325,157.292,157.31199999999998
1763687880,157.31199999999998,157.31199999999998,157.29,157.303
1763687940,157.303,157.346,157.29299999999998,157.344
1763688000,157.344,157.345,157.32299999999998,157.327
1763688060,157.327,157.34099999999998,157.32399999999998,157.328
1763688120,157.328,157.387,157.325,157.385
1763688180,157.385,157.39,157.37099999999998,157.373
1763688240,157.373,157.38899999999998,157.373,157.38799999999998
1763688300,157.38799999999998,157.405,157.378,157.403
1763688360,157.403,157.452,157.403,157.44
1763688420,157.44,157.441,157.42499999999998,157.427
1763688480,157.427,157.44,157.411,157.41299999999998
1763688540,157.41299999999998,157.433,157.39999999999998,157.433
1763688600,157.433,157.439,157.403,157.41199999999998
1763688660,157.41199999999998,157.44199999999998,157.411,157.429
1763688720,157.429,157.447,157.429,157.438
1763688780,157.438,157.44199999999998,157.423,157.427
1763688840,157.427,157.427,157.385,157.397
1763688900,157.397,157.398,157.33599999999998,157.343
1763688960,157.343,157.35299999999998,157.308,157.326
1763689020,157.326,157.35999999999999,157.315,157.35899999999998
1763689080,157.35899999999998,157.402,157.35899999999998,157.40099999999998
